2008IS,問題文,選択肢,,,,
1,わが国の病院に導入されている情報システムでもっとも古くからあるのはどれか。解答記入欄( 1 )にマークしなさい。,医事会計システム,検査部門システム,看護支援システム,電子カルテシステム,オーダエントリシステム
2,「医療情報システムの安全管理に関するガイドライン」において、診療録等の電子保存や外部保存を実施する場合に医療機関等の自己責任として求められているのはどれか。解答記入欄( 2 )にマークしなさい。,管理責任・賠償責任・結果責任,説明責任・結果責任・教育責任,説明責任・教育責任・賠償責任,説明責任・管理責任・結果責任,説明責任・管理責任・賠償責任
3,OECD8原則と個人情報取り扱い業者の義務との対応について正しいのはどれか。解答記入欄( 3 )にマークしなさい。,責任の原則 ― 安全管理のため必要な処置を講じなければならない。,公開の原則 ― 利用目的等を本人の知り得る状態に置かなければならない。,開示の原則 ― 本人の求めに応じて保有個人データを開示しなければならない。,収集制限の原則 ― 利用目的の達成に必要な範囲を超えて取り扱ってはならない。,目的明確化の原則 ― 取得したときは利用目的を通知又は公開しなければならない。
4,「医療情報システムの安全管理に関するガイドライン」において正しいのはどれか。解答記入欄( 4 )に2つマークしなさい。,診療情報は20年間保存しなければならない。,診療情報の開示請求の権利が規定されている。,医療の質を評価する指標を作成することが求められている。,院内LANをインターネットと接続することは禁じられている。,医療情報の二次利用に関して本人の同意を得ることが規定されている。
5,医療機関における患者の個人情報保護について正しいのはどれか。解答己入欄( 5 )に2つマークしなさい。,氏名を消去すれば匿名性が担保できる。,死亡した患者の個人情報は保護の対象にならない。,患者の診療情報を電子的には本人に提供してはならない。,転院先へ診療情報を提供する場合には本人の同意は不要である。,個人情報保護に関する規定は個々の病院が作成しなければならない。
6,患者本人(17歳、男性、腎臓がん)の承諾を得ることなく医療機関が個人情報を外部に提供できるのは次のうちどの場合か。解答記入欄( 6 )に2つマークしなさい。,地域がん登録事業への登録,患者の妹からの退院日の照会,高等学校の教員からの病状についての照会,保険会社からの保険金支払いのための照会,社会保険診療報酬支払基金からの診療内容の照会
7,「医療情報システムの安全管理に関するガイドライン」に基づいて診療録等をスキャナを利用して電子保存する場合、誤っているのはどれか。解答記入欄( 7 )にマークしなさい。,非可逆圧縮で保存しなければならない。,読み取りに係る運用管理規程を定めなければならない。,システムトラブルに備えた体制を構築しなければならない。,300dpi、RGB各色8ビット以上でスキャンしなければならない。,診療録等を破棄する場合、個人識別が不可能な状態にしなければならない。
8,病院情報システムに関する職員講習を企画する際に注意すべきことで、誤っているのはどれか。解答記入欄( 8 )にマークしなさい。,出欠を取って受講状況を把握する。,教材の内容は医療現場に直結した話題を選ぶ。,毎回の講習の内容とゴールを具体的に定めておく。,同じ内容の講習を異なった時間帯で複数回設定する。,診療に影響を及ぼさないように勤務時間外に設定する。
9,次の組み合わせで、ともに患者記録管理にあたるのはどれか。解答記入欄( 9 )にマークしなさい。,処方実施記録 ― 超過勤務管理システム,看護必要度 ― 病棟管理日誌システム,温度板 ― 看護勤務表作成システム,看護計画 ― べッドサイドケア支援システム,注射実施記録 ― 看護職員個人情報管理システム
10,予約システムについて誤っているのはどれか。解答記入欄( 10 )に2つマークしなさい。,カルテのない初診患者に対しては予約できない。,診察予約システムの導入で患者の待ち時間は短縮される。,予約データを入力できる利用者の制約が必要なこともある。,診療予約の人数枠は担当医師の時間あたりの平均患者数とする。,検査予約では空いている枠を自由にとる運用と、部門側が日時を決定する運用とがある。
11,物流管理システムについて誤っているのはどれか。解答記入欄( 11 )に2つマークしなさい。,原価計算に役立つ。,購入数と消費数は同数である。,バーコードがしばしば利用される。,物品マスタの標準化が重要である。,システムの導入により棚卸しが不要になる。
12,DPC(診断群分類)別包括評価方式の医事会計処理について正しいのはどれか。解答記入欄( 12 )に2つマークしなさい。,DPCは入院時に確定する。,退院時に入院期間中の医療費を一括請求する。,DPC対象の疾患でも出来高払いになることがある。,DPC対象の患者でも手術費用は出来高払いである。,同じ疾患であれば入院期間が短いほど収入は高くなる。
13,薬剤処方オーダ時のリスク回避のために不適切なのはどれか。解答記入欄( 13 )に2つマークしなさい。,薬剤は先頭2文字で検索する。,類似している薬剤名は表示を工夫する。,前回や過去の処方を自動的に利用する。,同一患者の他科受診の処方を参照する。,投与量、重複、禁忌などのチェックをする。
14,「注射オーダ」は「処方オーダ」に比べて導入が困難とされている。その理由として、関連がもっとも少ないのはどれか。解答記入欄( 14 )にマークしなさい。,病棟配置薬剤がある。,薬品形状が多様である。,投与方法が複雑である。,実施時の内容変更がある。,オーダ発行後の変更が多い。
15,処方オーダ、薬剤部門システム、医事会計システムが稼動している病院で正しいのはどれか。解答記入欄( 15 )に2つマークしなさい。,処方鑑査は、医事会計システムの機能である。,処方オーダの情報は、そのまま自動調剤機に伝送されて調剤される。,院外処方を行ったとき、処方箋料は医事会計システムから請求する。,医事会計システムは、処方オーダの情報を受け取り、請求額を計算する。,入院患者では、処方オーダの情報から、実際の服薬歴を知ることができる。
16,検体検査システムについて正しいのはどれか。解答記入欄( 16 )に2つマークしなさい。,基準値は変わることがない。,分析装置には依頼情報を送信する。,精度管理の結果、再測定が行われることがある。,検査ラベルには患者氏名が記載されていればよい。,依頼されたすべての検査結果がそろってから病院情報システムに送信される。
17,厚生労働省のレセプト電算処理システムで採用されているコードはどれか。解答記入欄( 17 )に2つマークしなさい。,JLAC10,HOTコード,傷病名コード,SNOMED/CT,診療行為コード
18,生理機能検査に含まれないのはどれか。解答記入欄( 18 )にマークしなさい。,心電図検査,基礎代謝測定,呼吸機能検査,サーモグラフィ,血中薬物動態検査
19,放射線部門システムに関して正しいのはどれか。解答記入欄( 19 )に2つマークしなさい。,照射録は放射線部門システムで管理する。,PACSは放射線部門の画像情報のみを取り扱う。,放射線検査予約は放射線部門では変更できない。,参照用画像端末装置は、放射線部門には必要ない。,検査実施情報は検査機器から放射線部門システムに返る。
20,輸血システムについて誤りはどれか。解答記入欄( 20 )に2つマークしなさい。,未使用の血液を他の患者に回せるシステムとする。,輸血の投与記録は20年以上保存しなければならない。,交差試験が行われていない血液は患者に投与できない。,人の血液型は変わらないことを前提にシステムを構築する。,手術オーダ時の輸血の必要量は予測であり、実際とは異なる。
21,リースに関する説明で正しいのはどれか。解答記入欄( 21 )にマークしなさい。,保守契約を結ぶ必要がある。,任意の期間で中途解約できる。,契約期間は通常1年更新である。,故障したときはリース会社が修理する。,ソフトウェアのバージョンアップはリース会社が行う。
22,部門システム機能に関する組み合わせで正しいのはどれか。解答記入欄( 22 )に2つマークしなさい。,薬剤部門システム ― 調剤鑑査,放射線部門システム ― 精度管理,輸血部門システム ― 副作用管理,生理機能検査部門システム ― 照射録管理,検体検査部門システム ― 画像ファイリング
23,次の内容に対応するシステムを下記の語群から選び、解答記入欄( 23 )~( 26 )にマークしなさい。,"""( 23 )8,( 24 )4,( 25 )9,( 26 )6""","""( 23 )4,( 24 )8,( 25 )1,( 26 )5""","""( 23 )5,( 24 )3,( 25 )4,( 26 )7""","""( 23 )4,( 24 )3,( 25 )5,( 26 )2""","""( 23 )4,( 24 )8,( 25 )5,( 26 )6"""
24,病院情報システムを新たに導入する病院へのアドバイスとして適切なのはどれか。解答記入欄( 27 )に2つマークしなさい。,部門間の調整はべンダに依頼する。,運用変更をしないことを前提に導入する。,患者動線や診療習慣など現状調査を十分に行う。,べンダとの調整は病院業務に精通した職員が行う。,各部門システムは同一べンダのシステムに統一する。
25,病院情報システムの導入にあたって誤りはどれか。解答記入欄( 28 )に2つマークしなさい。,調達先の開発管理体制を重視した。,瑕疵担保責任と損害賠償額を決めた。,経営者はシステム導入の目的を明確にした。,現場の要望をそのまま要求仕様書に取り入れた。,現行機能を踏襲するので改善すべき点のみ仕様をまとめた。
26,病院情報システム導入時に病院側が関わるのはどれか。解答記入欄( 29 )に2つマークしなさい。,要求分析,外部設計,内部設計,結合テスト,プログラム設計
27,システム導入のためのリハーサルについて誤っているのはどれか。解答己入欄( 30 )に2つマークしなさい。,リハーサルは複数回行う。,入力項目は本稼動を想定し入力者に任せた。,患者用シナリオと入力者用シナリオを作成した。,診療科、部門、事務部などにヒアリングを行ってシナリオを作成した。,全てのリハーサルがトラブルなく終了すれば本稼動で問題は生じない。
28,医療情報システムの要求定義について正しいのはどれか。解答記入欄( 31 )にマークしなさい。,発売予定の機器を指定した。,将来導入予定の機器との接続を要求した。,要求定義では空調や電源対策なども重視した。,要求定義で「絶対止まらないシステム」とした。,請負契約成立後、請負業者に対して要求定義を追加した。
29,システムのバックアップについて正しいのはどれか。解答記入欄( 32 )にマークしなさい。,マスタはバックアップを取る必要がない。,全てのデータベースはバックアップが必要である。,バックアップをするには当該システムの停止が必要である。,バックアップファイルがあればすべてのデータをリカバリできる。,オーダデータは常に更新されているため、バックアップは必要ない。
30,病院情報システムの維持管理作業のうち、障害の回復・復旧にとって最も優先度の高いのはどれか。解答記入欄( 33 )に2つマークしなさい。,ログファイル取得,データベースバックアップ,データベース再編成,マスターファイルの維持・管理,ソフトウェアのバージョン管理
31,「医療情報システムの安全管理に関するガイドライン」において、電子カルテシステム導入にあたり各医療機関が定めなければならないのはどれか。解答記入欄( 34 )にマークしなさい。,運用管理規定,操作マニュアル,運用マニュアル,診療ガイドライン,医療事故防止対策ガイドライン
32,利用者管理について適切な記載はどれか。解答記入欄( 35 )にマークしなさい。,利用者のパスワードはおよそ1年で変更する。,利用者には例外なく運用管理規程を遵守させる。,システムへのアクセス権限は利用者毎の要望によって付与する。,利用者が病気などで長期の休暇を取る場合にはいったん登録を抹消する。,利用者番号は退職後にその後の新規利用者が再利用できるようにしておくことが望ましい。
33,電子カルテシステムでのウイルスチェックツールの導入形態として最適なのはどれか。解答記入欄( 36 )にマークしなさい。,常に最新のウイルスチェックツールを導入する。,電子カルテシステムのサーバをチェック対象から外す。,パターンファイルは病院内のサーバから自動更新するしくみとした。,ウイルスチェックツールは必要な部門のみ、最小限の範囲で導入する。,最新のウイルスチェックツールの導入は、病院内の各部門の責任で行う。
34,ある病院ではオーダ工ントリシステムのサーバを二重化しており、障害時は自動的に待機系に切り替わる設計となっている。運用中のオーダ工ントリシステムのサーバが突然機能停止した。システム管理者として直ちに対応すべきことはどれか。解答記入欄( 37 )に2つマークしなさい。,運用系のサーバを直ちに再起動する。,システムが待機系に確実に切り替わったことを確認する。,医事会計システムを停止して紙伝票の運用に切り替える。,全職員に障害発生の事実と復旧の目処について通知する。,担当者に連絡し、障害の原因調査と対応について依頼・指示する。
35,下記のうち病院情報システムの耐障害性効果のもっとも小さいのはどれか。解答記入欄( 38 )にマークしなさい。,ネットワークを二重化する。,データベース用ディスクの二重化を行う。,バックアップテープを遠隔地の倉庫に保管する。,データベースのハードディスクをRAID0構成にする。,データベースサーバ用の無停電装置(UPS)を設置する。
36,病院情報システムの不正アクセス防止にもっとも効果が低いのはどれか。解答記入欄( 39 )にマークしなさい。,覗き見防止シートを端末のモニタに貼る。,パスワードの打ち間違いに回数制限を設ける。,ICカードとパスワードでログインできるようにする。,パスワードが長期間変更されていない場合、警告を出す。,一定時間操作されていない端末を、自動ログアウトさせる。
