2008II,問題文,選択肢,,,,
1,セカンドオピニオンについて誤っているのはどれか。解答記入欄( 1 )にマークしなさい。,EBMが背景にあることが重要である。,積極的にすすめる医療機関も存在する。,患者の自己決定権を尊重するものである。,医師が他の専門の医師から意見を聞くことである。,医師中心のパターナリズムからの脱却を意味する。
2,患者の診療情報の利用について本人の同意を得る必要があるのはどれか。解答記入欄( 2 )にマークしなさい。,他院への紹介状を書く。,学会等で症例報告を行う。,犯罪捜査への協力を行う。,疾病統計を作成して公表する。,地域がん登録事業に提供する。
3,地域保健法に関して誤っているのはどれか。解答記入欄( 3 )に2つマークしなさい。,政令市は保健所の設置義務がある。,保健所長は医師でなければならない。,保健所の業務には人口動態統計がある。,市町村は保健センターの設置義務がある。,地域保健対策の推進に関する基本事項が定められている。
4,医師法で定められていないのはどれか。解答記入欄( 4 )にマークしなさい。,応召義務,守秘義務,診療録の記載,異状死体の届け出,無診療治療の禁止
5,日本の社会保障制度について正しいのはどれか。解答記入欄( 5 )にマークしなさい。,年金は、厚生年金と国民年金である。,社会保障の基本は憲法第25条にある。,社会保障給付金は、医療と年金の支払い総額である。,社会保障制度とは、生活困窮者に対する経済保障である。,社会保障給付金には、公衆衛生にかかる費用は含まれない。
6,人口動態統計に含まれないのはどれか。解答記入欄( 6 )にマークしなさい。,出生数,離婚数,死亡数,死産数,失業者数
7,医療法に定められていないのはどれか。解答記入欄( 7 )にマークしなさい。,診療録の保管,病院開設の許可,病院・診療所の定義,広告できる診療科名,病院・診療所の管理者
8,日本の医療保険制度で正しいのはどれか。解答記入欄( 8 )にマークしなさい。,後期高齢者は対象外である。,医療給付は現金給付で行われる。,健康診断のための受診は給付の対象となる。,各種保険で被保険者の自己負担率は一定である。,国民健康保険の保険者は市町村または特別区である。
9,正しいのはどれか。解答記入欄( 9 )に2つマークしなさい。,症例ー対照研究は後向き研究の一種である。,コホート研究では寄与危険度を求めることができない。,横断研究は症例ー対照研究よりも結果の信頼性が高い。,コホート研究は長期間追跡して事象発生の有無を把握する方法である。,コホート研究は発生頻度の低い疾患の発症リスクを求めるのに適している。
10,病院経営の指標にならないのはどれか。解答記入欄( 10 )にマークしなさい。,剖検率,診療単価,病床利用率,患者紹介率,平均在院日数
11,誤っているのはどれか。解答記入欄( 11 )にマークしなさい。,原価計算は管理会計に含まれる。,病院会計準則は厚生労働省が定めている。,病院の収益には医業収益と医業外収益とがある。,財務会計は経営状況を伝えることを目的としている。,キャッシュフロー計算書は現金収入を一覧表にしたものである。
12,薬剤・処方について正しいのはどれか。解答記入欄( 12 )にマークしなさい。,外来処方箋には注射薬は記載できない。,医師であれば麻薬を処方することができる。,薬剤師は注射薬の混合を行ってはならない。,保険適応の医薬品は薬価基準に収載されているものだけである。,保険適応外薬品の副作用も医薬品副作用救済制度の対象になる。
13,正しいのはどれか。解答記入欄( 13 )にマークしなさい。,患者紹介率は、救急患者数を含めない。,平均在院日数は、退院患者数を含めない。,病床利用率は、救急患者の入院数を含めない。,患者紹介率は、文書による紹介患者数を初診患者数で除す。,病床利用率は、入院患者延べ数、実働病床数、日数を用いる。
14,誤っているのはどれか。解答記入欄( 14 )にマークしなさい。,インシデントの分析によるフィードバックが重要である。,オンラインによるインシデント報告は法令により禁じられている。,医療事故発生時、直ちに行うべきことは患者の安全確保である。,インシデント報告の数が少ないほど安全な病院であるとはいえない。,インシデント報告システムの目的は個人の責任を追及することではない。
15,法的管理が必要でない医薬品はどれか。解答記入欄( 15 )にマークしなさい。,麻薬,劇薬,毒薬,降圧薬,向精神薬
16,医療安全管理について誤っているのはどれか。解答記入欄( 16 )に2つマークしなさい。,過失のない医療事故を医療過誤という。,情報を収集し共有することが重要である。,SHELLモデルは医療事故の分析に使われる。,ハインリッヒの法則は医療事故の分析から生まれた。,「事故処理型」から「事故防止型」へと転換しつつある。
17,生活習慣病でないのはどれか。解答記入欄( 17 )にマークしなさい。,痛風,高血圧,高脂血症,１型糖尿病,２型糖尿病
18,臓器とその機能の組み合わせで誤っているのはどれか。解答記入欄( 18 )にマークしなさい。,膵臓 ― 血糖調節,肝臓 ― 解毒作用,脾臓 ― 消化酵素分泌,肺臓 ― 二酸化炭素排泄,腎臓 ― 血液のpH調節
19,糖尿病の管理指標はどれか。解答記入欄( 19 )にマークしなさい。,アルブミン,グロブリン,ミオグロビン,インターフェロン,グリコヘモグロビン
20,血液を介して感染するのはどれか。解答記入欄( 20 )にマークしなさい。,ノロウイルス,A型肝炎ウイルス,C型肝炎ウイルス,ヘリコバクター・ピロリ,インフルエンザウイルス
21,誤っているのはどれか。解答記入欄( 21 )にマークしなさい。,掌側は手のひら側をいう。,尺側は腕の小指側をいう。,近位は体幹に近い方をいう。,内側は内臓に近い方をいう。,浅部は身体の表面近くをいう。
22,正しいのはどれか。解答記入欄( 22 )にマークしなさい。,肝臓は再生能力がない。,胃は消化液を分泌しない。,アミラーゼは食道で分泌される。,小腸は十二指腸、空腸、回腸からなる。,大腸ではタンパク質、脂肪、ビタミン類が吸収される。
23,小児科診療の特徴として正しいのはどれか。解答記入欄( 23 )に2つマークしなさい。,感染症は少ない。,先天性疾患が多い。,病状の進行が緩やかである。,薬用量は体重に応じて計算する。,患者から適切な情報が得られやすい。
24,誤っているのはどれか。解答記入欄( 24 )にマークしなさい。,唾液はでんぶんを分解する。,胆汁はトリプシンを含んでいる。,膵臓はインスリンを血液中に分泌している。,食道は蠕動運動によって食塊を胃に送っている。,胃液に含まれるべプシンはタンパク質を分解する。
25,正しい組み合わせはどれか。解答記入欄( 25 )にマークしなさい。,エストロゲン ― 尿崩症,インスリン ― 褐色細胞腫,副甲状腺ホルモン ― 巨人症,甲状腺ホルモン ― バセドウ病,アルドステロン ― クッシング症候群
26,日本看護協会の看護師倫理綱領に記載されていないのはどれか。解答記入欄( 26 )にマークしなさい。,行政当局の政策決定に積極的に参画する。,看護実践の水準を高め、よりよい看護ケアのための研究に努める。,人間の生命を尊重し、また人間としての尊厳および権利を尊重する。,個人情報の保護に努め、いかなる場合も他者と共有してはならない。,国籍、人種、信条、年齢、性別、社会的身分、経済的状態に拘ることなく対応する。
27,バイタルサインでないのはどれか。解答記入欄( 27 )にマークしなさい。,体温,尿量,血圧,呼吸数,脈拍数
28,内因による疾患はどれか。解答記入欄( 28 )にマークしなさい。,医原病,水俣病,心房中隔欠損症,放射線皮膚障害,一酸化炭素中毒
29,クモ膜下出血を疑った場合、直ちに行うべき検査はどれか。解答記入欄( 29 )にマークしなさい。,脳波検査,心電図検査,肺機能検査,心エコー検査,頭部CT検査
30,放射線を利用しない画像検査はどれか。解答記入欄( 30 )に2つマークしなさい。,CT,MRI,胃透視,シンチグラム,大腸ファイバー
31,正しいのはどれか。解答記入欄( 31 )に2つマークしなさい。,臨床検査技師は超音波検査を実施できない。,PET検査室には鉄製品を持ち込んではならない。,X線撮影では照射録を記載しなければならない。,MRIは放射線管理区域内で行わなければならない。,CT撮影は放射線管理区域内で行わなければならない。
32,動画で観察されるのはどれか。解答記入欄( 32 )に2つマークしなさい。,胃透視,胸部X線撮影,脳MRアンジオ,骨シンチグラム,心臓超音波検査
33,放射性医薬品を使用する検査はどれか。解答記入欄( 33 )にマークしなさい。,CT検査,MRI検査,PET検査,透視検査,血管造影検査
34,血液を用いる検査はどれか。解答記入欄( 34 )にマークしなさい。,血圧測定,心電図検査,スパイロメトリー,平衡機能検査,クレアチニンクリアランス
35,生理機能検査はどれか。解答記入欄( 35 )にマークしなさい。,PET検査,腹腔鏡検査,腎機能検査,呼吸機能検査,交差適合試験
36,誤っているのはどれか。解答記入欄( 36 )にマークしなさい。,感度は有病正診率ともいわれる。,カットオフ値を動かして感度を下げると特異度も下がる。,陰性のものを正しく陰性と判断する確率を特異度という。,疾患の有無を判断する検査の境界値がカットオフ値である。,検査陽性者で実際に疾患がある人の割合を陽性的中率という。
37,救急医療で重要な検査はどれか。解答記入欄( 37 )に2つマークしなさい。,交差適合試験,骨塩定量検査,動脈血ガス分析,負荷心電図検査,HDL-コレステロール
38,結果が波形として得られるのはどれか。解答記入欄( 38 )に2つマークしなさい。,血液象,心電図,スパイロメトリー,動脈血ガス分析,薬剤感受性検査
39,正しい組み合わせはどれか。解答記入欄( 39 )に2つマークしなさい。,白血病 ― 骨髄像,血友病 ― 血小板数,関節リウマチ ― 尿酸,高脂血症 ― リン脂質,ネフローゼ症候群 ― 尿蛋白
40,誤っている組み合わせはどれか。解答記入欄( 40 )にマークしなさい。,骨シンチ ― RI検査室,アンジオ ― 内視鏡検査室,心電図 ― 生理機能検査室,平衡機能検査 ― 耳見咽喉科,マンモグラフィー ― 放射線撮影室
41,誤っているのはどれか。解答記入欄( 41 )にマークしなさい。,インターフェロンは免疫療法のひとつである。,分子標的薬は細胞の増殖を抑える働きがある。,抗がん剤による副作用に白血球の増加がある。,卵巣摘出術は乳がんのホルモン療法のひとつである。,血管新生阻害剤はがんの栄養血管の形成を阻害する。
42,以下の組み合わせで誤っているのはどれか。解答記入欄( 42 )にマークしなさい。,IVR ― 胆石破砕,外科手術 ― 胃切除,化学療法 ― 白血病治療,内視鏡治療 ― ポリープ切除,レーザー治療 ― 網膜剥離治療
43,人工心肺が代行できない生体機能はどれか。解答記入欄( 43 )に2つマークしなさい。,造血,代謝,肺循環,体循環,ガス交換
44,診療ガイドラインについて正しいのはどれか。解答記入欄( 44 )にマークしなさい。,対象疾患の専門医資格を持つ医師のみで作成する。,国が審査を行った後に正式な診療ガイドラインとなる。,科学的根拠のみに基づいて作成しなければならない。,診療ガイドラインに従った場合のみ診療報酬を請求できる。,作成時に関連文献のシステマティックレビューを行う必要がある。
45,クリニカルバスの目的として誤っているのはどれか。解答記入欄( 45 )にマークしなさい。,医療の標準化,在院日数の延長,チーム医療の推進,患者参加型医療の実現,組織としてのケアクオリティの向上
46,問題指向型診療記録について正しいのはどれか。解答記入欄( 46 )にマークしなさい。,医師のみが利用する記載方式である。,医療訴訟を防ぐための記載方法である。,問題点ごとに検査・治療の計画を立てる。,理学所見は主観的データとして記載する。,担当医以外に情報が漏れないために開発された。
47,診療録の保存期間は何年か。解答記入欄( 47 )にマークしなさい。,3年,5年,10年,15年,永久
48,診療録について誤っているのはどれか。解答記入欄( 48 )に2つマークしなさい。,患者の住所は記載しなくてよい。,処方内容は記載内容に含まれる。,医師以外でも記載することができる。,医療法により記載が義務づけられている。,記載事項を訂正する場合、二重線で消す。
49,研究デザインについて正しいのはどれか。解答記入欄( 49 )にマークしなさい。,コホート研究は後向き研究である。,観察研究は無作為化比較試験に比べて信頼性が高い。,無作為化比較試験では予め治療群と非治療群をめておく。,バイアスを避けるためには症例ー対照研究が最も適している。,横断研究は検査の感度、特異度などの特性を調べるのに用いられる。
50,誤っているのはどれか。解答記入欄( 50 )にマークしなさい。,データ数が最も多い値をモードという。,平均値ははずれ値の影響を受けやすい。,正規分布ではメジアンとモードは等しくなる。,集団のばらっきの大きさの尺度を偏差という。,データの合計をデータ数で割った値をメジアンという。
